y,x1,x2,x3,x4
0.904,75.5,25.2,3343,77
0.922,78.5,21.8,3001,78.2
0.763,78.4,25.7,3101,68
0.923,77.7,17.8,3543,77.2
0.918,84.4,15.9,3237,77.2
0.906,75.9,22.4,3330,77.2
0.905,76,20.6,3808,75.7
0.545,67.5,25.2,2415,62.6
0.894,78.2,20.7,3295,78
0.9,78.1,17.5,3504,78.2
0.932,78.6,19.7,30565,79
0.74,84,18.5,3007,67.6
0.701,59.2,54.4,2844,69.8
0.744,90.2,23,2861,68.4
0.921,72.8,20.2,3259,77.9
0.927,67.7,25.2,3350,78.1
0.802,82.6,22.4,3344,72.5
0.747,74.4,22.7,2704,66.6
0.927,83.3,18.1,3642,76.7
0.721,83.7,20.1,2753,68.8
0.913,73.8,17.3,2916,76.8
0.918,79.2,16.8,3551,78.1
0.833,71.5,29.9,3177,73.9
0.914,75.3,20.3,3280,78.6
0.923,79,14.1,3160,78.5